job_id,asset_id,section_id,department,job_type,criticality,condition_score,age_days,days_since_last_maint,dept_code,safety_code,section_speed,section_length,is_statutory,latent_degradation_factor,true_priority,true_duration_p50,true_duration_p90,cost_of_waiting
HIST-JOB-00025,AST-ENG-0042,SEC-ALJN-CNB-UP,ENGINEERING,TRACK_TAMPING_AND_ALIGNMENT,4,0.882,1713,71,0,3,130,302.0,0,1.453,0.427,83,144,2.16
HIST-JOB-00026,AST-S_A-0154,SEC-ALJN-CNB-DN,S_AND_T,AXLE_COUNTER_OUTDOOR_HEAD_TESTING,4,0.833,1355,143,2,2,130,302.0,0,0.884,0.466,34,44,2.53
HIST-JOB-00027,AST-S_A-0260,SEC-GZB-ALJN-UP,S_AND_T,SIGNAL_LED_ASPECT_REPLACEMENT,3,0.551,98,244,2,0,140,106.0,1,1.528,0.481,34,44,2.68
HIST-JOB-00028,AST-TRD-0155,SEC-NDLS-GZB-DN,TRD,CANTILEVER_ADJUSTMENT,3,0.98,1489,45,1,1,130,25.5,1,0.778,0.232,54,87,0.72
HIST-JOB-00029,AST-ENG-0145,SEC-ALJN-CNB-DN,ENGINEERING,RAIL_WELD_ULTRASONIC_TESTING,4,0.845,484,78,0,0,130,302.0,0,1.086,0.407,41,68,1.98
HIST-JOB-00030,AST-TRD-0048,SEC-ALJN-CNB-DN,TRD,OHE_CONTACT_WIRE_INSPECTION,5,0.653,1464,114,1,1,130,302.0,0,1.523,0.554,60,86,3.45
HIST-JOB-00031,AST-S_A-0005,SEC-GZB-ALJN-UP,S_AND_T,AXLE_COUNTER_OUTDOOR_HEAD_TESTING,4,0.413,595,336,2,2,140,106.0,0,1.217,0.69,35,57,5.13
HIST-JOB-00032,AST-ENG-0022,SEC-NDLS-GZB-UP,ENGINEERING,BALLAST_CLEANING_BCM,3,0.727,670,289,0,3,130,25.5,0,0.981,0.41,115,149,2.01
HIST-JOB-00033,AST-TRD-0080,SEC-GZB-ALJN-UP,TRD,TRACTION_TRANSFORMER_OIL_TEST,4,0.574,223,193,1,1,140,106.0,1,1.359,0.581,59,83,3.76
HIST-JOB-00034,AST-TRD-0128,SEC-NDLS-GZB-DN,TRD,INSULATOR_WASHING_AND_REPLACEMENT,4,0.682,785,221,1,1,130,25.5,0,1.183,0.518,45,76,3.06
HIST-JOB-00035,AST-TRD-0115,SEC-NDLS-GZB-DN,TRD,CANTILEVER_ADJUSTMENT,3,0.7,218,250,1,1,130,25.5,0,1.028,0.43,46,72,2.19
HIST-JOB-00036,AST-ENG-0261,SEC-ALJN-CNB-DN,ENGINEERING,RAIL_WELD_ULTRASONIC_TESTING,4,0.508,851,214,0,0,130,302.0,0,1.454,0.668,45,71,4.84
HIST-JOB-00037,AST-S_A-0056,SEC-ALJN-CNB-DN,S_AND_T,TRACK_CIRCUIT_TUNING_AND_CALIBRATION,5,0.829,173,69,2,2,130,302.0,0,1.308,0.519,35,46,3.07
HIST-JOB-00038,AST-S_A-0131,SEC-GZB-ALJN-UP,S_AND_T,AXLE_COUNTER_OUTDOOR_HEAD_TESTING,4,0.668,1344,233,2,2,140,106.0,0,0.864,0.497,40,50,2.84
HIST-JOB-00039,AST-ENG-0064,SEC-ALJN-CNB-DN,ENGINEERING,TURNOUT_SWITCH_RENEWAL,5,0.761,867,196,0,2,130,302.0,0,0.721,0.477,71,100,2.64
HIST-JOB-00040,AST-TRD-0216,SEC-ALJN-CNB-UP,TRD,TRACTION_TRANSFORMER_OIL_TEST,4,0.322,1326,351,1,1,130,302.0,0,1.255,0.743,46,76,5.86
HIST-JOB-00041,AST-S_A-0165,SEC-ALJN-CNB-DN,S_AND_T,TRACK_CIRCUIT_TUNING_AND_CALIBRATION,5,0.58,1292,217,2,2,130,302.0,0,0.998,0.651,40,63,4.62
HIST-JOB-00042,AST-S_A-0044,SEC-GZB-ALJN-DN,S_AND_T,SIGNAL_LED_ASPECT_REPLACEMENT,3,0.622,1871,355,2,0,140,106.0,0,0.998,0.5,22,56,2.87
HIST-JOB-00043,AST-TRD-0126,SEC-ALJN-CNB-UP,TRD,TRACTION_TRANSFORMER_OIL_TEST,4,0.796,442,130,1,1,130,302.0,1,0.821,0.432,42,71,2.21
HIST-JOB-00044,AST-S_A-0205,SEC-ALJN-CNB-UP,S_AND_T,INTERLOCKING_CABLE_MEGGERING,4,0.653,358,243,2,0,130,302.0,1,0.842,0.55,44,70,3.41
HIST-JOB-00045,AST-TRD-0286,SEC-NDLS-GZB-DN,TRD,INSULATOR_WASHING_AND_REPLACEMENT,4,0.67,496,227,1,1,130,25.5,0,0.985,0.529,46,56,3.18
HIST-JOB-00046,AST-TRD-0227,SEC-NDLS-GZB-UP,TRD,INSULATOR_WASHING_AND_REPLACEMENT,4,0.854,1929,78,1,1,130,25.5,0,1.443,0.365,51,65,1.63
HIST-JOB-00047,AST-S_A-0123,SEC-ALJN-CNB-UP,S_AND_T,AXLE_COUNTER_OUTDOOR_HEAD_TESTING,4,0.706,2004,240,2,2,130,302.0,0,0.861,0.495,38,55,2.82
HIST-JOB-00048,AST-TRD-0078,SEC-GZB-ALJN-DN,TRD,CANTILEVER_ADJUSTMENT,3,0.8,377,156,1,1,140,106.0,0,1.188,0.387,39,69,1.81
HIST-JOB-00049,AST-TRD-0200,SEC-GZB-ALJN-DN,TRD,INSULATOR_WASHING_AND_REPLACEMENT,4,0.661,323,222,1,1,140,106.0,0,0.865,0.492,38,68,2.79
HIST-JOB-00050,AST-ENG-0280,SEC-ALJN-CNB-UP,ENGINEERING,RAIL_WELD_ULTRASONIC_TESTING,4,0.602,1618,254,0,0,130,302.0,0,1.172,0.56,50,77,3.52
HIST-JOB-00051,AST-TRD-0066,SEC-GZB-ALJN-DN,TRD,INSULATOR_WASHING_AND_REPLACEMENT,4,0.721,178,209,1,1,140,106.0,0,1.051,0.464,37,69,2.51
HIST-JOB-00052,AST-ENG-0195,SEC-GZB-ALJN-DN,ENGINEERING,RAIL_WELD_ULTRASONIC_TESTING,4,0.886,171,52,0,0,140,106.0,0,1.323,0.376,38,68,1.72
HIST-JOB-00053,AST-TRD-0010,SEC-NDLS-GZB-DN,TRD,CROSSOVER_OHE_DROPPERS_MAINTENANCE,4,0.836,1612,152,1,1,130,25.5,0,0.782,0.419,49,90,2.09
HIST-JOB-00054,AST-ENG-0103,SEC-GZB-ALJN-UP,ENGINEERING,TURNOUT_SWITCH_RENEWAL,5,0.762,978,342,0,2,140,106.0,1,0.528,0.574,52,97,3.68
HIST-JOB-00055,AST-ENG-0059,SEC-ALJN-CNB-UP,ENGINEERING,RAIL_WELD_ULTRASONIC_TESTING,4,0.549,528,298,0,0,130,302.0,0,1.075,0.622,48,65,4.25
HIST-JOB-00056,AST-ENG-0102,SEC-GZB-ALJN-UP,ENGINEERING,DE-STRESSING_CWR_TRACK,5,0.526,502,306,0,0,140,106.0,0,0.91,0.689,84,122,5.11
HIST-JOB-00057,AST-ENG-0178,SEC-ALJN-CNB-UP,ENGINEERING,TRACK_TAMPING_AND_ALIGNMENT,4,0.739,477,164,0,3,130,302.0,1,0.872,0.501,100,126,2.88
HIST-JOB-00058,AST-S_A-0222,SEC-ALJN-CNB-DN,S_AND_T,AXLE_COUNTER_OUTDOOR_HEAD_TESTING,4,0.916,1577,45,2,2,130,302.0,0,0.726,0.369,37,47,1.66
HIST-JOB-00059,AST-S_A-0248,SEC-ALJN-CNB-DN,S_AND_T,POINT_MACHINE_MOTOR_OVERHAUL,5,0.457,686,232,2,2,130,302.0,0,1.215,0.742,61,87,5.84
HIST-JOB-00060,AST-S_A-0238,SEC-GZB-ALJN-DN,S_AND_T,SIGNAL_LED_ASPECT_REPLACEMENT,3,0.801,1159,175,2,0,140,106.0,1,1.272,0.314,31,42,1.24
HIST-JOB-00061,AST-S_A-0142,SEC-GZB-ALJN-UP,S_AND_T,TRACK_CIRCUIT_TUNING_AND_CALIBRATION,5,0.314,804,259,2,2,140,106.0,1,1.48,0.824,46,67,7.06
HIST-JOB-00062,AST-ENG-0244,SEC-ALJN-CNB-UP,ENGINEERING,RAIL_WELD_ULTRASONIC_TESTING,4,0.891,842,53,0,0,130,302.0,0,1.434,0.416,44,82,2.06
HIST-JOB-00063,AST-S_A-0272,SEC-GZB-ALJN-DN,S_AND_T,INTERLOCKING_CABLE_MEGGERING,4,0.657,967,217,2,0,140,106.0,0,1.029,0.517,47,72,3.05
HIST-JOB-00064,AST-S_A-0099,SEC-GZB-ALJN-DN,S_AND_T,POINT_MACHINE_MOTOR_OVERHAUL,5,0.713,1414,190,2,2,140,106.0,0,0.8,0.549,45,93,3.4
HIST-JOB-00065,AST-TRD-0145,SEC-NDLS-GZB-UP,TRD,CROSSOVER_OHE_DROPPERS_MAINTENANCE,4,0.748,818,108,1,1,130,25.5,0,0.973,0.478,63,94,2.65
HIST-JOB-00066,AST-ENG-0024,SEC-NDLS-GZB-DN,ENGINEERING,BALLAST_CLEANING_BCM,3,0.801,1273,126,0,3,130,25.5,0,1.281,0.379,106,153,1.74
HIST-JOB-00067,AST-ENG-0095,SEC-ALJN-CNB-UP,ENGINEERING,TURNOUT_SWITCH_RENEWAL,5,0.98,2070,62,0,2,130,302.0,0,0.843,0.439,66,100,2.27
HIST-JOB-00068,AST-ENG-0028,SEC-GZB-ALJN-UP,ENGINEERING,TURNOUT_SWITCH_RENEWAL,5,0.923,2016,68,0,2,140,106.0,1,0.766,0.419,72,111,2.09
HIST-JOB-00069,AST-ENG-0268,SEC-NDLS-GZB-DN,ENGINEERING,RAIL_FASTENING_REPLACEMENT,3,0.725,408,137,0,0,130,25.5,0,1.229,0.443,41,51,2.31
HIST-JOB-00070,AST-S_A-0051,SEC-GZB-ALJN-DN,S_AND_T,TRACK_CIRCUIT_TUNING_AND_CALIBRATION,5,0.696,1873,162,2,2,140,106.0,0,1.288,0.512,46,56,3.0
HIST-JOB-00071,AST-TRD-0241,SEC-ALJN-CNB-DN,TRD,OHE_CONTACT_WIRE_INSPECTION,5,0.794,703,132,1,1,130,302.0,1,1.089,0.529,66,107,3.18
HIST-JOB-00072,AST-TRD-0102,SEC-NDLS-GZB-UP,TRD,TRACTION_TRANSFORMER_OIL_TEST,4,0.734,1008,157,1,1,130,25.5,0,1.088,0.435,49,78,2.24
HIST-JOB-00073,AST-S_A-0225,SEC-NDLS-GZB-UP,S_AND_T,AXLE_COUNTER_OUTDOOR_HEAD_TESTING,4,0.906,1148,82,2,2,130,25.5,0,0.653,0.393,40,50,1.86
HIST-JOB-00074,AST-ENG-0021,SEC-GZB-ALJN-DN,ENGINEERING,BALLAST_CLEANING_BCM,3,0.792,1305,216,0,3,140,106.0,0,1.065,0.352,104,164,1.53
HIST-JOB-00075,AST-S_A-0138,SEC-ALJN-CNB-DN,S_AND_T,AXLE_COUNTER_OUTDOOR_HEAD_TESTING,4,0.857,434,127,2,2,130,302.0,0,0.917,0.461,22,61,2.48
HIST-JOB-00076,AST-ENG-0252,SEC-NDLS-GZB-DN,ENGINEERING,TURNOUT_SWITCH_RENEWAL,5,0.503,1987,275,0,2,130,25.5,1,0.887,0.644,70,103,4.53
HIST-JOB-00077,AST-ENG-0019,SEC-GZB-ALJN-DN,ENGINEERING,TRACK_TAMPING_AND_ALIGNMENT,4,0.912,488,92,0,3,140,106.0,0,0.87,0.351,94,142,1.52
HIST-JOB-00078,AST-S_A-0278,SEC-NDLS-GZB-UP,S_AND_T,SIGNAL_LED_ASPECT_REPLACEMENT,3,0.749,1348,139,2,0,130,25.5,0,1.337,0.462,33,43,2.49
HIST-JOB-00079,AST-S_A-0225,SEC-GZB-ALJN-DN,S_AND_T,SIGNAL_LED_ASPECT_REPLACEMENT,3,0.551,2101,330,2,0,140,106.0,0,1.285,0.5,21,44,2.87
HIST-JOB-00080,AST-S_A-0283,SEC-NDLS-GZB-UP,S_AND_T,INTERLOCKING_CABLE_MEGGERING,4,0.478,178,332,2,0,130,25.5,1,1.029,0.619,49,59,4.22
HIST-JOB-00081,AST-S_A-0140,SEC-NDLS-GZB-UP,S_AND_T,AXLE_COUNTER_OUTDOOR_HEAD_TESTING,4,0.689,524,246,2,2,130,25.5,1,1.076,0.548,31,56,3.39
HIST-JOB-00082,AST-S_A-0070,SEC-GZB-ALJN-DN,S_AND_T,AXLE_COUNTER_OUTDOOR_HEAD_TESTING,4,0.806,1994,134,2,2,140,106.0,1,0.882,0.441,41,56,2.29
HIST-JOB-00083,AST-ENG-0251,SEC-GZB-ALJN-UP,ENGINEERING,TRACK_TAMPING_AND_ALIGNMENT,4,0.502,1452,269,0,3,140,106.0,0,1.07,0.619,100,143,4.22
HIST-JOB-00084,AST-ENG-0123,SEC-GZB-ALJN-DN,ENGINEERING,RAIL_FASTENING_REPLACEMENT,3,0.759,2043,186,0,0,140,106.0,0,1.018,0.429,32,46,2.18
HIST-JOB-00085,AST-S_A-0254,SEC-NDLS-GZB-DN,S_AND_T,TRACK_CIRCUIT_TUNING_AND_CALIBRATION,5,0.434,1363,252,2,2,130,25.5,0,1.159,0.724,47,57,5.59
HIST-JOB-00086,AST-ENG-0234,SEC-NDLS-GZB-DN,ENGINEERING,TURNOUT_SWITCH_RENEWAL,5,0.671,2117,312,0,2,130,25.5,0,0.561,0.609,55,106,4.1
HIST-JOB-00087,AST-ENG-0042,SEC-ALJN-CNB-DN,ENGINEERING,RAIL_WELD_ULTRASONIC_TESTING,4,0.972,692,48,0,0,130,302.0,0,1.312,0.259,49,80,0.88
HIST-JOB-00088,AST-TRD-0036,SEC-ALJN-CNB-DN,TRD,CROSSOVER_OHE_DROPPERS_MAINTENANCE,4,0.659,1616,172,1,1,130,302.0,0,1.126,0.48,64,76,2.67
HIST-JOB-00089,AST-TRD-0086,SEC-ALJN-CNB-DN,TRD,INSULATOR_WASHING_AND_REPLACEMENT,4,0.895,991,56,1,1,130,302.0,0,0.918,0.371,35,69,1.68
HIST-JOB-00090,AST-TRD-0272,SEC-NDLS-GZB-UP,TRD,TRACTION_TRANSFORMER_OIL_TEST,4,0.741,248,176,1,1,130,25.5,0,1.046,0.451,46,77,2.39
HIST-JOB-00091,AST-S_A-0074,SEC-ALJN-CNB-UP,S_AND_T,AXLE_COUNTER_OUTDOOR_HEAD_TESTING,4,0.909,777,50,2,2,130,302.0,0,0.935,0.352,37,58,1.53
HIST-JOB-00092,AST-TRD-0280,SEC-GZB-ALJN-DN,TRD,INSULATOR_WASHING_AND_REPLACEMENT,4,0.698,1100,245,1,1,140,106.0,0,0.844,0.505,41,76,2.92
HIST-JOB-00093,AST-ENG-0197,SEC-NDLS-GZB-UP,ENGINEERING,DE-STRESSING_CWR_TRACK,5,0.53,1285,337,0,0,130,25.5,0,0.785,0.727,81,116,5.63
HIST-JOB-00094,AST-S_A-0203,SEC-NDLS-GZB-UP,S_AND_T,INTERLOCKING_CABLE_MEGGERING,4,0.68,1031,205,2,0,130,25.5,0,0.91,0.495,41,55,2.82
HIST-JOB-00095,AST-TRD-0181,SEC-NDLS-GZB-UP,TRD,CANTILEVER_ADJUSTMENT,3,0.747,260,320,1,1,130,25.5,0,0.652,0.39,44,84,1.84
HIST-JOB-00096,AST-TRD-0050,SEC-ALJN-CNB-DN,TRD,INSULATOR_WASHING_AND_REPLACEMENT,4,0.748,838,327,1,1,130,302.0,0,0.527,0.522,36,75,3.1
HIST-JOB-00097,AST-ENG-0068,SEC-GZB-ALJN-UP,ENGINEERING,TURNOUT_SWITCH_RENEWAL,5,0.847,1554,77,0,2,140,106.0,0,1.016,0.513,57,96,3.01
HIST-JOB-00098,AST-S_A-0174,SEC-ALJN-CNB-UP,S_AND_T,POINT_MACHINE_MOTOR_OVERHAUL,5,0.712,2115,149,2,2,130,302.0,0,1.112,0.553,57,79,3.44
HIST-JOB-00099,AST-ENG-0047,SEC-GZB-ALJN-DN,ENGINEERING,BALLAST_CLEANING_BCM,3,0.553,984,356,0,3,140,106.0,0,1.134,0.495,119,156,2.82
HIST-JOB-00100,AST-S_A-0196,SEC-NDLS-GZB-UP,S_AND_T,TRACK_CIRCUIT_TUNING_AND_CALIBRATION,5,0.768,1143,284,2,2,130,25.5,0,0.5,0.559,35,63,3.51
HIST-JOB-00101,AST-S_A-0210,SEC-NDLS-GZB-UP,S_AND_T,POINT_MACHINE_MOTOR_OVERHAUL,5,0.447,1403,322,2,2,130,25.5,0,0.872,0.734,51,90,5.73
HIST-JOB-00102,AST-ENG-0199,SEC-NDLS-GZB-DN,ENGINEERING,BALLAST_CLEANING_BCM,3,0.95,245,29,0,3,130,25.5,1,1.089,0.303,119,149,1.17
HIST-JOB-00103,AST-S_A-0209,SEC-GZB-ALJN-UP,S_AND_T,SIGNAL_LED_ASPECT_REPLACEMENT,3,0.669,1776,310,2,0,140,106.0,0,0.803,0.438,20,50,2.26
HIST-JOB-00104,AST-TRD-0189,SEC-NDLS-GZB-UP,TRD,CANTILEVER_ADJUSTMENT,3,0.795,1577,121,1,1,130,25.5,0,0.855,0.389,40,86,1.83
HIST-JOB-00105,AST-S_A-0171,SEC-NDLS-GZB-UP,S_AND_T,POINT_MACHINE_MOTOR_OVERHAUL,5,0.631,560,242,2,2,130,25.5,0,0.87,0.639,42,71,4.47
HIST-JOB-00106,AST-TRD-0076,SEC-NDLS-GZB-DN,TRD,INSULATOR_WASHING_AND_REPLACEMENT,4,0.953,900,45,1,1,130,25.5,0,1.094,0.315,39,65,1.25
HIST-JOB-00107,AST-ENG-0008,SEC-GZB-ALJN-UP,ENGINEERING,RAIL_WELD_ULTRASONIC_TESTING,4,0.528,592,286,0,0,140,106.0,0,1.088,0.603,37,64,4.02
HIST-JOB-00108,AST-S_A-0033,SEC-NDLS-GZB-DN,S_AND_T,POINT_MACHINE_MOTOR_OVERHAUL,5,0.968,1386,18,2,2,130,25.5,0,1.155,0.428,58,73,2.17
HIST-JOB-00109,AST-S_A-0235,SEC-GZB-ALJN-DN,S_AND_T,INTERLOCKING_CABLE_MEGGERING,4,0.582,506,241,2,0,140,106.0,1,1.053,0.498,48,64,2.85
HIST-JOB-00110,AST-ENG-0042,SEC-NDLS-GZB-UP,ENGINEERING,RAIL_WELD_ULTRASONIC_TESTING,4,0.673,2021,215,0,0,130,25.5,0,0.985,0.523,51,62,3.11
HIST-JOB-00111,AST-TRD-0051,SEC-ALJN-CNB-UP,TRD,CROSSOVER_OHE_DROPPERS_MAINTENANCE,4,0.694,1391,205,1,1,130,302.0,0,1.077,0.54,66,88,3.3
HIST-JOB-00112,AST-ENG-0213,SEC-ALJN-CNB-DN,ENGINEERING,BALLAST_CLEANING_BCM,3,0.723,940,230,0,3,130,302.0,0,0.99,0.413,116,157,2.04
HIST-JOB-00113,AST-ENG-0222,SEC-GZB-ALJN-UP,ENGINEERING,BALLAST_CLEANING_BCM,3,0.962,1593,88,0,3,140,106.0,1,0.669,0.25,104,147,0.82
HIST-JOB-00114,AST-ENG-0063,SEC-ALJN-CNB-DN,ENGINEERING,BALLAST_CLEANING_BCM,3,0.889,1586,76,0,3,130,302.0,0,0.739,0.293,112,166,1.1
HIST-JOB-00115,AST-S_A-0109,SEC-GZB-ALJN-UP,S_AND_T,AXLE_COUNTER_OUTDOOR_HEAD_TESTING,4,0.858,1792,36,2,2,140,106.0,0,1.417,0.445,40,56,2.33
HIST-JOB-00116,AST-ENG-0294,SEC-ALJN-CNB-DN,ENGINEERING,RAIL_FASTENING_REPLACEMENT,3,0.894,2035,124,0,0,130,302.0,0,0.933,0.281,25,48,1.02
HIST-JOB-00117,AST-TRD-0159,SEC-GZB-ALJN-DN,TRD,INSULATOR_WASHING_AND_REPLACEMENT,4,0.263,167,321,1,1,140,106.0,0,1.381,0.813,37,63,6.89
HIST-JOB-00118,AST-TRD-0016,SEC-GZB-ALJN-UP,TRD,CROSSOVER_OHE_DROPPERS_MAINTENANCE,4,0.917,85,102,1,1,140,106.0,0,0.797,0.342,51,98,1.45
HIST-JOB-00119,AST-ENG-0044,SEC-ALJN-CNB-DN,ENGINEERING,TRACK_TAMPING_AND_ALIGNMENT,4,0.788,1918,184,0,3,130,302.0,0,0.762,0.461,100,144,2.48
HIST-JOB-00120,AST-ENG-0227,SEC-NDLS-GZB-DN,ENGINEERING,TURNOUT_SWITCH_RENEWAL,5,0.313,704,326,0,2,130,25.5,1,1.181,0.816,65,105,6.93
HIST-JOB-00121,AST-S_A-0158,SEC-GZB-ALJN-UP,S_AND_T,AXLE_COUNTER_OUTDOOR_HEAD_TESTING,4,0.689,1473,230,2,2,140,106.0,0,1.064,0.541,38,61,3.31
HIST-JOB-00122,AST-ENG-0149,SEC-NDLS-GZB-DN,ENGINEERING,TURNOUT_SWITCH_RENEWAL,5,0.309,1678,316,0,2,130,25.5,1,1.242,0.821,56,98,7.01
HIST-JOB-00123,AST-TRD-0204,SEC-NDLS-GZB-UP,TRD,CROSSOVER_OHE_DROPPERS_MAINTENANCE,4,0.846,779,76,1,1,130,25.5,0,1.414,0.378,58,77,1.74
HIST-JOB-00124,AST-ENG-0214,SEC-GZB-ALJN-DN,ENGINEERING,TURNOUT_SWITCH_RENEWAL,5,0.503,136,245,0,2,140,106.0,0,1.267,0.67,70,102,4.86
HIST-JOB-00125,AST-TRD-0125,SEC-NDLS-GZB-UP,TRD,TRACTION_TRANSFORMER_OIL_TEST,4,0.82,763,326,1,1,130,25.5,0,0.5,0.384,55,73,1.79
HIST-JOB-00126,AST-S_A-0087,SEC-ALJN-CNB-UP,S_AND_T,AXLE_COUNTER_OUTDOOR_HEAD_TESTING,4,0.626,1700,278,2,2,130,302.0,0,1.095,0.573,29,50,3.67
HIST-JOB-00127,AST-ENG-0053,SEC-ALJN-CNB-UP,ENGINEERING,TRACK_TAMPING_AND_ALIGNMENT,4,0.745,854,188,0,3,130,302.0,0,0.794,0.428,86,132,2.17
HIST-JOB-00128,AST-ENG-0253,SEC-GZB-ALJN-UP,ENGINEERING,RAIL_FASTENING_REPLACEMENT,3,0.784,868,98,0,0,140,106.0,0,1.507,0.339,27,60,1.43
HIST-JOB-00129,AST-S_A-0141,SEC-ALJN-CNB-UP,S_AND_T,SIGNAL_LED_ASPECT_REPLACEMENT,3,0.588,1383,331,2,0,130,302.0,0,1.017,0.474,37,47,2.61
HIST-JOB-00130,AST-ENG-0047,SEC-GZB-ALJN-UP,ENGINEERING,TURNOUT_SWITCH_RENEWAL,5,0.877,2138,47,0,2,140,106.0,1,1.246,0.504,61,92,2.91
